grade,absences,studytime,internet,activities
14,0,3,1,1
13,0,3,1,1
15,0,3,1,0
10,2,3,1,1
14,0,3,1,1
13,4,3,1,1
12,2,3,1,1
17,2,4,1,1
13,0,3,1,1
12,0,4,1,1
10,0,4,1,0
11,2,4,1,0
10,0,4,1,0
11,0,4,1,1
13,1,4,1,0
9,2,3,1,0
15,4,3,1,1
11,2,3,1,0
12,2,4,1,1
13,4,4,1,1
13,2,3,1,0
16,0,3,1,1
10,4,4,1,0
14,4,3,1,1
14,2,3,1,1
11,4,3,1,1
13,4,3,1,0
12,0,3,1,0
15,4,3,1,1
13,0,3,1,1
13,2,3,1,1
13,2,3,1,1
12,0,3,1,1
12,4,4,1,1
13,0,3,1,1
16,4,3,1,1
16,0,3,1,1
12,0,3,1,1
15,4,3,1,1
15,2,3,1,0
17,2,4,1,1
14,2,3,1,1
12,2,4,1,1
13,0,3,1,1
18,0,3,1,0
14,0,3,1,0
15,0,3,1,1
18,0,3,1,0
15,0,3,1,1
17,0,4,1,0
8,0,3,1,1
16,0,3,1,0
18,0,4,1,1
11,0,3,1,1
17,2,3,1,1
17,2,3,1,1
10,0,3,1,1
17,0,3,1,0
15,0,3,1,0
14,0,3,1,1
13,0,3,1,1
13,0,3,1,1
15,4,3,1,0
12,0,4,1,1
15,0,3,1,0
15,4,4,1,0
14,0,3,1,0
17,4,3,1,0
17,4,3,1,0
14,0,3,1,0
13,0,3,1,1
12,0,3,1,1
15,2,3,1,0
17,5,3,1,0
11,0,3,1,0
13,0,4,1,0
14,0,4,1,1
13,0,3,1,0
6,2,4,1,1
16,0,3,1,0
12,1,3,1,0
13,5,3,1,0
13,0,3,1,0
18,0,4,1,0
15,5,3,1,0
18,0,3,1,0
16,0,3,1,0
17,0,3,1,0
12,4,3,1,0
10,4,3,1,1
